CUST_Type,CUST_Name,phoneNumber,address,district,longitude,latitude
Mainstream,Owuahene Pub,233632336,Accra,South,-0.25950,6.08891
Low End,Nellys Kitchen Bar & Gril,245576346,Ghana,South,-0.259665,6.089074
Mainstream,PAYEASE SPOT(A1),558416446,Accra,South,-0.27073,6.08817
Mainstream,Havillah Restaurant,244820271,Accra,South,-0.27329,6.08434
Mainstream,DADYS BAR(A1),548755891,Accra,South,-0.27427,6.08338
Mainstream,KEKRO LOUNGE(B2),277704065,Accra,South,-0.27540,6.07568
Low End,"Plus 1 pub &Grill ,Effiduase",503280570,Accra,South,-0.26942,6.09378
High End,NEW CAPITAL VIEW(B1),245793695,Accra,South,-0.26878,6.06682
Mainstream,GRANTS PUB(A2),247705979,Accra,South,-0.26421,6.06601
Mainstream,LUMEN'S PUB(B2),545178530,Accra,South,-0.259151,6.063508
